id,name,omimid,description,created_at,updated_at
513,,170100,,2020-12-22 18:01:54,2020-12-22 18:01:54
514,,176920,,2020-12-22 18:01:54,2020-12-22 18:01:54
515,,178995,,2020-12-22 18:01:54,2020-12-22 18:01:54
516,,103580,,2020-12-22 18:01:54,2020-12-22 18:01:54
517,,612462,,2020-12-22 18:01:54,2020-12-22 18:01:54
518,,612463,,2020-12-22 18:01:55,2020-12-22 18:01:55
519,,177850,,2020-12-22 18:01:55,2020-12-22 18:01:55
520,,264800,,2020-12-22 18:01:55,2020-12-22 18:01:55
521,,175860,,2020-12-22 18:01:55,2020-12-22 18:01:55
522,,604416,,2020-12-22 18:01:55,2020-12-22 18:01:55
523,,200970,,2020-12-22 18:01:55,2020-12-22 18:01:55
524,,262190,,2020-12-22 18:01:55,2020-12-22 18:01:55
525,,266500,,2020-12-22 18:01:55,2020-12-22 18:01:55
526,,614879,,2020-12-22 18:01:55,2020-12-22 18:01:55
527,,613471,,2020-12-22 18:01:55,2020-12-22 18:01:55
528,,608978,,2020-12-22 18:01:55,2020-12-22 18:01:55
529,,180730,,2020-12-22 18:01:55,2020-12-22 18:01:55
530,,600705,,2020-12-22 18:01:56,2020-12-22 18:01:56
531,,181250,,2020-12-22 18:01:56,2020-12-22 18:01:56
532,,181270,,2020-12-22 18:01:56,2020-12-22 18:01:56
533,,312830,,2020-12-22 18:01:56,2020-12-22 18:01:56
534,,269150,,2020-12-22 18:01:56,2020-12-22 18:01:56
535,,162091,,2020-12-22 18:01:56,2020-12-22 18:01:56
536,,162260,,2020-12-22 18:01:56,2020-12-22 18:01:56
537,,615670,,2020-12-22 18:01:56,2020-12-22 18:01:56
538,,226600,,2020-12-22 18:01:56,2020-12-22 18:01:56
539,,269880,,2020-12-22 18:01:56,2020-12-22 18:01:56
540,,270200,,2020-12-22 18:01:56,2020-12-22 18:01:56
541,,182410,,2020-12-22 18:01:56,2020-12-22 18:01:56
542,,133190,,2020-12-22 18:01:57,2020-12-22 18:01:57
543,,271640,,2020-12-22 18:01:57,2020-12-22 18:01:57
544,,618395,,2020-12-22 18:01:57,2020-12-22 18:01:57
545,,612379,,2020-12-22 18:01:57,2020-12-22 18:01:57
546,,184500,,2020-12-22 18:01:57,2020-12-22 18:01:57
547,,184510,,2020-12-22 18:01:57,2020-12-22 18:01:57
548,,184900,,2020-12-22 18:01:57,2020-12-22 18:01:57
549,,228020,,2020-12-22 18:01:57,2020-12-22 18:01:57
550,,185300,,2020-12-22 18:01:57,2020-12-22 18:01:57
551,,154230,,2020-12-22 18:01:57,2020-12-22 18:01:57
552,,233420,,2020-12-22 18:01:57,2020-12-22 18:01:57
553,,300018,,2020-12-22 18:01:57,2020-12-22 18:01:57
554,,400044,,2020-12-22 18:01:57,2020-12-22 18:01:57
555,,612965,,2020-12-22 18:01:57,2020-12-22 18:01:57
556,,613080,,2020-12-22 18:01:57,2020-12-22 18:01:57
557,,613762,,2020-12-22 18:01:57,2020-12-22 18:01:57
558,,616425,,2020-12-22 18:01:57,2020-12-22 18:01:57
559,,181750,,2020-12-22 18:01:58,2020-12-22 18:01:58
560,,311900,,2020-12-22 18:01:58,2020-12-22 18:01:58
561,,272980,,2020-12-22 18:01:58,2020-12-22 18:01:58
562,,172850,,2020-12-22 18:01:58,2020-12-22 18:01:58
563,,611816,,2020-12-22 18:01:58,2020-12-22 18:01:58
564,,103500,,2020-12-22 18:01:58,2020-12-22 18:01:58
565,,131705,,2020-12-22 18:01:58,2020-12-22 18:01:58
566,,190320,,2020-12-22 18:01:58,2020-12-22 18:01:58
567,,601453,,2020-12-22 18:01:58,2020-12-22 18:01:58
568,,275400,,2020-12-22 18:01:58,2020-12-22 18:01:58
569,,190350,,2020-12-22 18:01:58,2020-12-22 18:01:58
570,,190351,,2020-12-22 18:01:58,2020-12-22 18:01:58
571,,150230,,2020-12-22 18:01:58,2020-12-22 18:01:58
572,,234050,,2020-12-22 18:01:59,2020-12-22 18:01:59
573,,300953,,2020-12-22 18:01:59,2020-12-22 18:01:59
574,,601675,,2020-12-22 18:01:59,2020-12-22 18:01:59
575,,616390,,2020-12-22 18:01:59,2020-12-22 18:01:59
576,,616395,,2020-12-22 18:01:59,2020-12-22 18:01:59
577,,616943,,2020-12-22 18:01:59,2020-12-22 18:01:59
578,,618546,,2020-12-22 18:01:59,2020-12-22 18:01:59
579,,191100,,2020-12-22 18:01:59,2020-12-22 18:01:59
580,,613254,,2020-12-22 18:01:59,2020-12-22 18:01:59
581,,142680,,2020-12-22 18:01:59,2020-12-22 18:01:59
582,,161050,,2020-12-22 18:01:59,2020-12-22 18:01:59
