id,disease_id,reference_id,created_at,updated_at
11821,141,30148,2021-04-28 02:05:04.502225,2021-04-28 02:05:04.502225
11822,699,30149,2021-04-28 02:05:05.017258,2021-04-28 02:05:05.017258
11823,466,30148,2021-04-28 02:05:06.231745,2021-04-28 02:05:06.231745
11824,357,30151,2021-04-28 02:05:07.391375,2021-04-28 02:05:07.391375
11825,333,30152,2021-04-28 02:05:15.590224,2021-04-28 02:05:15.590224
11826,677,30153,2021-04-28 02:05:16.372022,2021-04-28 02:05:16.372022
11827,39,30154,2021-04-28 02:05:39.152614,2021-04-28 02:05:39.152614
11828,209,132,2021-04-28 02:05:39.269778,2021-04-28 02:05:39.269778
11829,401,30155,2021-04-28 02:05:43.727673,2021-04-28 02:05:43.727673
11830,306,30156,2021-04-28 02:06:23.052538,2021-04-28 02:06:23.052538
11831,348,30158,2021-04-28 02:07:24.508790,2021-04-28 02:07:24.508790
11832,333,30160,2021-04-28 02:07:35.940033,2021-04-28 02:07:35.940033
11833,688,30161,2021-04-28 02:07:49.386485,2021-04-28 02:07:49.386485
11834,66,30162,2021-04-28 02:07:50.915103,2021-04-28 02:07:50.915103
11835,466,30163,2021-04-28 02:07:53.872907,2021-04-28 02:07:53.872907
11836,689,30164,2021-04-28 02:08:01.871179,2021-04-28 02:08:01.871179
11837,369,30165,2021-04-28 02:08:04.212475,2021-04-28 02:08:04.212475
11838,369,30166,2021-04-28 02:08:04.364766,2021-04-28 02:08:04.364766
11839,677,4705,2021-04-28 02:08:08.475873,2021-04-28 02:08:08.475873
11840,428,30173,2021-04-28 02:08:17.702319,2021-04-28 02:08:17.702319
11841,823,30174,2021-04-28 02:08:21.817478,2021-04-28 02:08:21.817478
11842,147,30175,2021-04-28 02:08:22.043270,2021-04-28 02:08:22.043270
11843,49,30176,2021-04-28 02:09:23.070349,2021-04-28 02:09:23.070349
11844,685,30177,2021-04-28 02:09:23.798606,2021-04-28 02:09:23.798606
11845,685,28126,2021-04-28 02:09:23.950949,2021-04-28 02:09:23.950949
11846,692,19091,2021-04-28 02:09:24.289993,2021-04-28 02:09:24.289993
11847,692,21982,2021-04-28 02:09:24.417515,2021-04-28 02:09:24.417515
11848,855,22865,2021-04-28 02:10:33.387012,2021-04-28 02:10:33.387012
11849,403,30178,2021-04-28 02:10:35.476244,2021-04-28 02:10:35.476244
11850,466,30179,2021-04-28 02:10:40.504009,2021-04-28 02:10:40.504009
11851,185,30180,2021-04-28 02:10:40.772919,2021-04-28 02:10:40.772919
11852,119,30181,2021-04-28 02:10:44.128546,2021-04-28 02:10:44.128546
