id,phenotype_id,childhpo_id,created_at,updated_at
382,3756,3765,2021-01-19 17:04:03,2021-01-19 17:04:03
383,3756,1200,2021-01-19 17:04:05,2021-01-19 17:04:05
384,1200,9531,2021-01-19 17:04:05,2021-01-19 17:04:05
385,1200,4709,2021-01-19 17:04:07,2021-01-19 17:04:07
386,1200,1673,2021-01-19 17:04:09,2021-01-19 17:04:09
387,3756,3760,2021-01-19 17:04:12,2021-01-19 17:04:12
388,3756,2291,2021-01-19 17:04:14,2021-01-19 17:04:14
389,2291,3764,2021-01-19 17:04:15,2021-01-19 17:04:15
390,2291,748,2021-01-19 17:04:17,2021-01-19 17:04:17
391,603,382,2021-01-19 17:04:21,2021-01-19 17:04:21
392,382,9668,2021-01-19 17:04:22,2021-01-19 17:04:22
393,382,3183,2021-01-19 17:04:24,2021-01-19 17:04:24
394,382,2342,2021-01-19 17:04:25,2021-01-19 17:04:25
395,2342,3767,2021-01-19 17:04:26,2021-01-19 17:04:26
396,382,9669,2021-01-19 17:04:29,2021-01-19 17:04:29
397,382,521,2021-01-19 17:04:31,2021-01-19 17:04:31
398,521,3594,2021-01-19 17:04:32,2021-01-19 17:04:32
399,3594,9670,2021-01-19 17:04:33,2021-01-19 17:04:33
400,3594,9665,2021-01-19 17:04:35,2021-01-19 17:04:35
401,3594,2191,2021-01-19 17:04:37,2021-01-19 17:04:37
402,3594,9671,2021-01-19 17:04:39,2021-01-19 17:04:39
403,3594,3595,2021-01-19 17:04:41,2021-01-19 17:04:41
404,521,9672,2021-01-19 17:04:44,2021-01-19 17:04:44
405,521,9673,2021-01-19 17:04:46,2021-01-19 17:04:46
406,521,9674,2021-01-19 17:04:47,2021-01-19 17:04:47
407,382,1223,2021-01-19 17:04:50,2021-01-19 17:04:50
408,1223,755,2021-01-19 17:04:51,2021-01-19 17:04:51
409,1223,641,2021-01-19 17:04:53,2021-01-19 17:04:53
410,1223,2096,2021-01-19 17:04:55,2021-01-19 17:04:55
411,2096,9182,2021-01-19 17:04:56,2021-01-19 17:04:56
412,9182,642,2021-01-19 17:04:57,2021-01-19 17:04:57
413,9182,2959,2021-01-19 17:04:59,2021-01-19 17:04:59
414,2096,9675,2021-01-19 17:05:02,2021-01-19 17:05:02
415,382,23,2021-01-19 17:05:06,2021-01-19 17:05:06
