id,disease_id,name,description,created_at,updated_at,umlsid,phenotype_id
251,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C1857052,NULL
252,,,,2020-12-22 18:01:41,2020-12-22 18:01:41,C1854310,NULL
253,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C1855788,NULL
254,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C0432306,NULL
255,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C1839988,NULL
256,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C0432307,NULL
257,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C1840296,NULL
258,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C1837610,NULL
259,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C1843355,NULL
260,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C1855787,NULL
261,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C0021171,NULL
262,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C0022283,NULL
263,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C2930820,NULL
264,,,,2020-12-22 18:01:42,2020-12-22 18:01:42,C0432284,NULL
265,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0473574,NULL
266,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C1838123,NULL
267,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0175692,NULL
268,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0796002,NULL
269,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C2673609,NULL
270,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0079683,NULL
271,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0263666,NULL
272,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C2931785,NULL
273,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C1835672,NULL
274,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C1835671,NULL
275,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C2931828,NULL
276,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0025221,NULL
277,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C0406756,NULL
278,,,,2020-12-22 18:01:43,2020-12-22 18:01:43,C1839910,NULL
279,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0343057,NULL
280,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0265336,NULL
281,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C3665333,NULL
282,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0406557,NULL
283,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0266004,NULL
284,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0406740,NULL
285,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0265269,NULL
286,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C1856969,NULL
287,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C0158360,NULL
288,,,,2020-12-22 18:01:44,2020-12-22 18:01:44,C1969623,NULL
289,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C1842307,NULL
290,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0175704,NULL
291,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C2931424,NULL
292,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0265344,NULL
293,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0544855,NULL
294,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0023645,NULL
295,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0406369,NULL
296,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0406366,NULL
297,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C1863753,NULL
298,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C1304501,NULL
299,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0406650,NULL
300,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0023650,NULL
301,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0265329,NULL
302,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C3854181,NULL
303,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0036420,NULL
304,,,,2020-12-22 18:01:45,2020-12-22 18:01:45,C0023795,NULL
305,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0431376,NULL
306,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C3501846,NULL
307,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0406636,NULL
308,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C1835272,NULL
309,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0265345,NULL
310,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0580181,NULL
311,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0206182,NULL
312,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0024454,NULL
313,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C0221011,NULL
314,,,,2020-12-22 18:01:46,2020-12-22 18:01:46,C1837756,NULL
315,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C2931059,NULL
316,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0265235,NULL
317,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0242292,NULL
318,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C1865285,NULL
319,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0025235,NULL
320,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0022716,NULL
321,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0007129,NULL
322,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0342731,NULL
323,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C1959626,NULL
324,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0796070,NULL
325,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C1704423,NULL
326,,,,2020-12-22 18:01:47,2020-12-22 18:01:47,C0546966,NULL
327,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C1836669,NULL
328,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C1865145,NULL
329,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0268390,NULL
330,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0026706,NULL
331,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0086648,NULL
332,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0030804,NULL
333,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C1321489,NULL
334,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0311284,NULL
335,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C1861975,NULL
336,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0268263,NULL
337,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C1720864,NULL
338,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0023804,NULL
339,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C0024445,NULL
340,,,,2020-12-22 18:01:48,2020-12-22 18:01:48,C2931642,NULL
341,,,,2020-12-22 18:01:49,2020-12-22 18:01:49,C0343111,NULL
342,,,,2020-12-22 18:01:49,2020-12-22 18:01:49,C0027341,NULL
343,,,,2020-12-22 18:01:49,2020-12-22 18:01:49,C1832600,NULL
344,,,,2020-12-22 18:01:49,2020-12-22 18:01:49,C1275339,NULL
345,,,,2020-12-22 18:01:49,2020-12-22 18:01:49,C0027577,NULL
