id,disease_gene_id,reference_id,created_at,updated_at
13616,77,26949,2021-04-27 21:55:13.238485,2021-04-27 21:55:13.238485
13617,77,132,2021-04-27 21:55:13.316269,2021-04-27 21:55:13.316269
13618,12274,2132,2021-04-27 21:55:27.987080,2021-04-27 21:55:27.987080
13619,12275,1601,2021-04-27 21:55:28.473232,2021-04-27 21:55:28.473232
13620,12276,19600,2021-04-27 21:55:29.159973,2021-04-27 21:55:29.159973
13621,12277,19602,2021-04-27 21:55:29.670812,2021-04-27 21:55:29.670812
13622,12278,26952,2021-04-27 21:55:38.927496,2021-04-27 21:55:38.927496
13623,12279,26953,2021-04-27 21:55:40.025047,2021-04-27 21:55:40.025047
13624,12280,2207,2021-04-27 21:55:45.354856,2021-04-27 21:55:45.354856
13625,12281,26954,2021-04-27 21:55:45.593998,2021-04-27 21:55:45.593998
13626,12282,26955,2021-04-27 21:55:45.966368,2021-04-27 21:55:45.966368
13627,12283,25704,2021-04-27 21:55:46.804335,2021-04-27 21:55:46.804335
13628,12284,21432,2021-04-27 21:55:48.080408,2021-04-27 21:55:48.080408
13629,12285,25704,2021-04-27 21:55:48.810887,2021-04-27 21:55:48.810887
13630,12285,26955,2021-04-27 21:55:48.970835,2021-04-27 21:55:48.970835
13631,12286,20514,2021-04-27 21:55:57.845936,2021-04-27 21:55:57.845936
13632,12287,18305,2021-04-27 21:56:01.291309,2021-04-27 21:56:01.291309
13633,12288,26958,2021-04-27 21:56:02.281526,2021-04-27 21:56:02.281526
13634,12289,18319,2021-04-27 21:56:03.616584,2021-04-27 21:56:03.616584
13635,12289,26959,2021-04-27 21:56:03.844724,2021-04-27 21:56:03.844724
13636,12290,18334,2021-04-27 21:56:04.799275,2021-04-27 21:56:04.799275
13637,12291,26961,2021-04-27 21:56:13.419972,2021-04-27 21:56:13.419972
13638,810,26962,2021-04-27 21:56:14.807434,2021-04-27 21:56:14.807434
13639,12292,15425,2021-04-27 21:56:16.418037,2021-04-27 21:56:16.418037
13640,12293,19577,2021-04-27 21:56:18.131209,2021-04-27 21:56:18.131209
13641,12294,11535,2021-04-27 21:56:19.294912,2021-04-27 21:56:19.294912
13642,12295,15397,2021-04-27 21:56:19.585048,2021-04-27 21:56:19.585048
13643,12296,15428,2021-04-27 21:56:22.238503,2021-04-27 21:56:22.238503
13644,12297,20942,2021-04-27 21:56:36.128140,2021-04-27 21:56:36.128140
13645,12298,26963,2021-04-27 21:56:42.672255,2021-04-27 21:56:42.672255
13646,12299,11561,2021-04-27 21:56:52.292990,2021-04-27 21:56:52.292990
13647,12300,6610,2021-04-27 21:57:01.553316,2021-04-27 21:57:01.553316
13648,12301,2622,2021-04-27 21:57:03.728493,2021-04-27 21:57:03.728493
13649,12302,26524,2021-04-27 21:57:05.727827,2021-04-27 21:57:05.727827
13650,12303,26526,2021-04-27 21:57:06.731127,2021-04-27 21:57:06.731127
13651,12304,26527,2021-04-27 21:57:07.909862,2021-04-27 21:57:07.909862
13652,12305,15427,2021-04-27 21:57:08.325516,2021-04-27 21:57:08.325516
13653,12306,26528,2021-04-27 21:57:08.578852,2021-04-27 21:57:08.578852
13654,12307,8106,2021-04-27 21:57:10.229090,2021-04-27 21:57:10.229090
13655,12308,24452,2021-04-27 21:57:12.302213,2021-04-27 21:57:12.302213
13656,12309,26964,2021-04-27 21:57:17.264331,2021-04-27 21:57:17.264331
13657,12310,1174,2021-04-27 21:57:19.498949,2021-04-27 21:57:19.498949
13658,12311,7557,2021-04-27 21:57:19.878360,2021-04-27 21:57:19.878360
13659,12312,26965,2021-04-27 21:57:23.501416,2021-04-27 21:57:23.501416
13660,12313,26966,2021-04-27 21:57:31.134627,2021-04-27 21:57:31.134627
13661,12314,21806,2021-04-27 21:57:33.621945,2021-04-27 21:57:33.621945
13662,680,26967,2021-04-27 21:57:35.237884,2021-04-27 21:57:35.237884
13663,680,132,2021-04-27 21:57:35.311372,2021-04-27 21:57:35.311372
13664,362,26968,2021-04-27 21:57:35.687388,2021-04-27 21:57:35.687388
13665,362,26969,2021-04-27 21:57:35.815284,2021-04-27 21:57:35.815284
13666,362,26970,2021-04-27 21:57:35.985979,2021-04-27 21:57:35.985979
13667,12315,7157,2021-04-27 21:57:50.715309,2021-04-27 21:57:50.715309
13668,12316,6358,2021-04-27 21:58:01.202338,2021-04-27 21:58:01.202338
13669,12317,20373,2021-04-27 21:58:09.425675,2021-04-27 21:58:09.425675
13670,12318,4165,2021-04-27 21:58:10.463454,2021-04-27 21:58:10.463454
13671,12319,26971,2021-04-27 21:58:11.554395,2021-04-27 21:58:11.554395
13672,12320,3568,2021-04-27 21:58:25.277213,2021-04-27 21:58:25.277213
13673,12321,3569,2021-04-27 21:58:27.491895,2021-04-27 21:58:27.491895
13674,12322,3571,2021-04-27 21:58:32.348999,2021-04-27 21:58:32.348999
13675,12323,3574,2021-04-27 21:58:37.451531,2021-04-27 21:58:37.451531
13676,12324,3579,2021-04-27 21:58:44.630958,2021-04-27 21:58:44.630958
13677,12325,23842,2021-04-27 21:58:47.414730,2021-04-27 21:58:47.414730
13678,12326,4405,2021-04-27 21:58:49.552699,2021-04-27 21:58:49.552699
13679,12327,8950,2021-04-27 21:59:05.530162,2021-04-27 21:59:05.530162
13680,12328,6320,2021-04-27 21:59:09.401180,2021-04-27 21:59:09.401180
13681,12329,6453,2021-04-27 21:59:09.726265,2021-04-27 21:59:09.726265
13682,12330,26973,2021-04-27 21:59:10.149136,2021-04-27 21:59:10.149136
13683,12331,26974,2021-04-27 21:59:17.912852,2021-04-27 21:59:17.912852
13684,12332,2958,2021-04-27 21:59:44.443617,2021-04-27 21:59:44.443617
13685,12333,2970,2021-04-27 21:59:46.604884,2021-04-27 21:59:46.604884
13686,12334,15486,2021-04-27 21:59:48.278681,2021-04-27 21:59:48.278681
13687,12335,18347,2021-04-27 21:59:55.181536,2021-04-27 21:59:55.181536
13688,12336,2076,2021-04-27 21:59:55.436297,2021-04-27 21:59:55.436297
13689,12337,2076,2021-04-27 21:59:56.052287,2021-04-27 21:59:56.052287
13690,12338,9488,2021-04-27 22:00:00.302211,2021-04-27 22:00:00.302211
13691,12339,7531,2021-04-27 22:00:05.775324,2021-04-27 22:00:05.775324
13692,12340,132,2021-04-27 22:00:12.172318,2021-04-27 22:00:12.172318
13693,12341,7070,2021-04-27 22:00:14.415534,2021-04-27 22:00:14.415534
13694,12342,3010,2021-04-27 22:00:15.183293,2021-04-27 22:00:15.183293
13695,12343,7112,2021-04-27 22:00:16.412785,2021-04-27 22:00:16.412785
13696,12344,6247,2021-04-27 22:00:18.197030,2021-04-27 22:00:18.197030
13697,12345,7144,2021-04-27 22:00:18.942649,2021-04-27 22:00:18.942649
13698,12346,17289,2021-04-27 22:00:24.269534,2021-04-27 22:00:24.269534
13699,12347,17291,2021-04-27 22:00:24.860099,2021-04-27 22:00:24.860099
13700,12348,17291,2021-04-27 22:00:24.975406,2021-04-27 22:00:24.975406
13701,566,17448,2021-04-27 22:00:25.319083,2021-04-27 22:00:25.319083
13702,566,26976,2021-04-27 22:00:25.636328,2021-04-27 22:00:25.636328
13703,566,17296,2021-04-27 22:00:26.617389,2021-04-27 22:00:26.617389
