head,relation,tail
icd11:1762624893,is_a,icd11:1280217391
icd11:1813939482,is_a,icd11:1356988921
icd11:1813939482,is_a,icd11:1819307779
icd11:1813939482,is_a,icd11:300993597
icd11:1813939482,is_a,icd11:1122238335
icd11:2077814774,is_a,icd11:1590188940
icd11:848842350,is_a,icd11:2132718683
icd11:1564207544,is_a,icd11:1100765087
icd11:576937098,is_a,icd11:1264126483
icd11:2043344688,is_a,icd11:1729106757
icd11:1532204857,is_a,icd11:1271663754
icd11:1271663754,is_a,icd11:1223380074
icd11:296335559,is_a,icd11:121657546
icd11:1242961582,is_a,icd11:1721328596
icd11:1701421116,is_a,icd11:284613639
icd11:2013578620,is_a,icd11:970357944
icd11:437941753,is_a,icd11:84907312
icd11:1652337667,is_a,icd11:842877470
icd11:2147137083,is_a,icd11:172733763
icd11:1312360131,is_a,icd11:1707607718
icd11:565439556,is_a,icd11:262492020
icd11:112774633,is_a,icd11:270802913
icd11:112774633,is_a,icd11:470174636
icd11:1953407282,is_a,icd11:887489797
icd11:1939216245,is_a,icd11:1328602361
icd11:1008188767,is_a,icd11:1156567558
icd11:1025592877,is_a,icd11:811020627
icd11:1025592877,is_a,icd11:1935164290
icd11:160661062,is_a,icd11:797997317
icd11:1527277971,is_a,icd11:1878195719
icd11:494941010,is_a,icd11:183283901
icd11:179051153,is_a,icd11:1846279220
icd11:179051153,is_a,icd11:1430820568
icd11:485403543,is_a,icd11:1776006391
icd11:842877470,is_a,icd11:38557253
icd11:1925052982,is_a,icd11:2052676433
icd11:1264512044,is_a,icd11:1166232738
icd11:2024599295,is_a,icd11:1262123607
icd11:1888048529,is_a,icd11:480002572
icd11:506792320,is_a,icd11:173494020
icd11:406510021,is_a,icd11:1802307036
icd11:2052136656,is_a,icd11:450167795
icd11:5747278,is_a,icd11:1024151204
icd11:615658429,is_a,icd11:889309257
icd11:1150399575,is_a,icd11:1585443443
icd11:1897256597,is_a,icd11:1987089698
icd11:1121999129,is_a,icd11:1313691675
icd11:695436427,is_a,icd11:520566646
icd11:222258115,is_a,icd11:673167184
icd11:1757898640,is_a,icd11:1435238626
icd11:873448556,is_a,icd11:514038071
icd11:1976997748,is_a,icd11:1574420820
icd11:1976997748,is_a,icd11:51983773
icd11:547536187,is_a,icd11:304883627
icd11:45206262,is_a,icd11:1576251337
icd11:901411509,is_a,icd11:1998421548
icd11:977116795,is_a,icd11:435152554
icd11:977116795,is_a,icd11:1690277727
icd11:1233443452,is_a,icd11:1101707278
icd11:1233443452,is_a,icd11:25801498
icd11:829480468,is_a,icd11:1695649400
icd11:1537082562,is_a,icd11:778830229
icd11:1537082562,is_a,icd11:579547731
icd11:1537082562,is_a,icd11:369012830
icd11:1367017851,is_a,icd11:64081271
icd11:258364608,is_a,icd11:1843029926
icd11:283798099,is_a,icd11:1838547056
icd11:1817219012,is_a,icd11:1627987797
icd11:1132496727,is_a,icd11:868777775
icd11:1132496727,is_a,icd11:1303137937
icd11:147512258,is_a,icd11:221542568
icd11:1390877570,is_a,icd11:1366758649
icd11:1390877570,is_a,icd11:250018994
icd11:284380638,is_a,icd11:30770553
icd11:157916891,is_a,icd11:2143699068
icd11:1133091451,is_a,icd11:1179082745
icd11:683166625,is_a,icd11:1156567558
icd11:683166625,is_a,icd11:2016900188
icd11:88890474,is_a,icd11:1525487462
icd11:1529361895,is_a,icd11:1121465374
